File_Name,NC,Object_Number,Cell_Diameter,Nucleus_Diameter
490.tif,0.6065101649963991,490,24.3267448835902,14.7544180531716
496.tif,0.730846458693439,496,13.2748185220761,9.70185410665739
497.tif,0.6207397832172223,497,20.0741724399972,12.460837448669
503.tif,0.7995164284347214,503,16.0060144392886,12.7970714979746
512.tif,0.6533501585365412,512,23.6092272675893,15.4250923782047
517.tif,0.45658203346679166,517,22.0178143148799,10.0529384323821
535.tif,0.7264075881966856,535,16.9257986814494,12.2950285984943
537.tif,0.9585805939357448,537,13.4706306835289,12.9126851613062
548.tif,0.9443407205357696,548,11.6628747249841,11.0137275213099
550.tif,0.95483538214164,550,15.1939571554302,14.5077278867489
552.tif,0.6045959622777232,552,18.9460439975316,11.4547017020437
555.tif,0.6485602304280127,555,22.2257605109513,14.4147443584204
566.tif,0.7783263853775866,566,15.4754788572074,12.0449735209175
586.tif,0.6775356771970252,586,20.6202478494553,13.9709535906512
589.tif,0.8175186073397309,589,11.8852737060889,9.71643240805332
591.tif,0.697032896317376,591,15.1706499517172,10.5744420748625
600.tif,0.6167939547439607,600,19.0948761667754,11.7776041862516
604.tif,0.5338197295432552,604,22.0178143148799,11.7535436827028
608.tif,0.5968121972679118,608,21.7916532194183,13.0055244399814
618.tif,0.6496226361342334,618,17.1995490320906,11.1732163825467
627.tif,0.40290309667086455,627,20.2006915859833,8.13892119488575
628.tif,0.7474704818333061,628,14.9734372024613,11.1922023204245
630.tif,0.6078968557069875,630,18.6182265026325,11.3179613497908
643.tif,0.6831722234905409,643,18.0977920710939,12.3639088494787
649.tif,0.8644933320436019,649,15.0629723220017,13.0218391331278
670.tif,0.8367658859672226,670,17.8774629104142,14.9592510910789
674.tif,0.9821991178786127,674,23.2710725301189,22.856826911172
712.tif,0.6151648461462881,712,19.6753552364402,12.1035868768983
717.tif,0.6100255302370451,717,18.5839843078121,11.33670488129
728.tif,0.6451230695258359,728,26.1521488659023,16.8713545510675
731.tif,0.8315999287869358,731,11.4361515656578,9.51030282759763
737.tif,0.896802831813622,737,14.1271147638113,12.669236525542
738.tif,0.8686424822985852,738,15.0347556772027,13.0598274921981
749.tif,0.9545472572940252,749,15.9661708897405,15.2404646322895
753.tif,0.6743434467184029,753,16.3039078066105,10.9944333852888
779.tif,0.6936652997787578,779,19.2903101351351,13.3810187627137
803.tif,0.607486611288691,803,25.729278142138,15.6301919894716
807.tif,0.664452902699955,807,19.0503486063658,12.6580594289458
818.tif,0.9138675629117148,818,11.9387443401292,10.9104311943399
835.tif,0.6502196888186039,835,20.7331988444652,13.4811341008624
840.tif,0.644210328744394,840,17.4811596085537,11.2615435782596
846.tif,0.9545996565061602,846,20.5204746457923,19.5888380482167
852.tif,0.9419680735781439,852,14.0869808339572,13.2694861986949
